epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2105,1.45263,2.24407,1.1884,0.92964,0.8445,0.94124,0.54804,1.26113,2.32176,1.04829,0.000658436,0.000658436,0.000658436
2,19.3634,1.27904,1.32828,1.06276,0.97619,0.94845,0.98337,0.62642,1.16996,1.20441,1.01568,0.00129887,0.00129887,0.00129887
3,28.5605,1.29286,1.0971,1.07513,0.95651,0.94227,0.97961,0.58378,1.29178,0.93937,1.0736,0.0019129,0.0019129,0.0019129
4,37.7343,1.21953,0.91147,1.0444,0.94795,0.95052,0.97711,0.62229,1.18588,0.70101,1.0313,0.0018812,0.0018812,0.0018812
5,46.9101,1.25111,0.85022,1.05102,0.96313,0.96945,0.99055,0.62536,1.1763,0.78147,1.04621,0.0018416,0.0018416,0.0018416
6,56.2043,1.1986,0.77537,1.03929,0.95413,0.94357,0.97902,0.63557,1.2006,0.99402,1.04303,0.001802,0.001802,0.001802
7,65.5952,1.19207,0.73722,1.04143,0.96672,0.95843,0.98773,0.6352,1.2138,0.67421,1.02509,0.0017624,0.0017624,0.0017624
8,74.7054,1.19345,0.72043,1.03541,0.98091,0.98557,0.99289,0.67785,1.08797,0.60966,1.00453,0.0017228,0.0017228,0.0017228
9,84.0313,1.16409,0.67304,1.0184,0.97189,0.96701,0.98889,0.67932,1.04825,0.64265,0.99335,0.0016832,0.0016832,0.0016832
10,93.6154,1.12658,0.67122,1.00423,0.98101,0.96289,0.98948,0.68271,1.071,0.60808,0.97855,0.0016436,0.0016436,0.0016436
11,102.935,1.12262,0.64752,1.00093,0.98627,0.97113,0.99333,0.69279,1.06887,0.57704,0.98934,0.001604,0.001604,0.001604
12,112.094,1.11951,0.63829,0.99828,0.97739,0.98351,0.99429,0.7018,1.02248,0.55219,0.95919,0.0015644,0.0015644,0.0015644
13,121.18,1.09914,0.61934,0.98484,0.97948,0.98403,0.99316,0.69634,1.04609,0.55599,0.96825,0.0015248,0.0015248,0.0015248
14,130.261,1.11058,0.61258,0.99147,0.96494,0.98557,0.99214,0.68302,1.05416,0.57853,0.99046,0.0014852,0.0014852,0.0014852
