epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.73814,0.89346,0.43477,0.91631,0.99904,0.99794,0.995,0.75973,0.9485,0.42271,0.93456,0.000658436,0.000658436,0.000658436
2,18.7963,0.96299,0.50133,0.94856,0.98373,0.99736,0.99324,0.73247,0.96472,0.48186,0.9555,0.00131198,0.00131198,0.00131198
3,27.8017,1.03923,0.56093,0.97204,0.98246,0.98969,0.99346,0.704,0.99813,0.57558,0.97364,0.00195233,0.00195233,0.00195233
4,36.7828,1.0612,0.57856,0.98268,0.99055,0.98969,0.99396,0.72204,1.00121,0.51653,0.95025,0.0019406,0.0019406,0.0019406
5,45.976,1.01671,0.55714,0.96676,0.96191,0.98945,0.99307,0.72811,0.94839,0.51216,0.95256,0.0019208,0.0019208,0.0019208
6,55.072,1.03119,0.55536,0.96981,0.98552,0.98969,0.99358,0.7203,0.97116,0.50526,0.96741,0.001901,0.001901,0.001901
7,64.1318,1.04302,0.56146,0.97667,0.99112,0.96082,0.99105,0.69827,1.01609,0.55637,0.98681,0.0018812,0.0018812,0.0018812
8,73.3992,1.03951,0.55939,0.9861,0.98356,0.98707,0.99281,0.71696,0.97747,0.50472,0.97076,0.0018614,0.0018614,0.0018614
9,82.6413,1.04062,0.55325,0.97834,0.98691,0.99381,0.99475,0.71801,0.97089,0.51054,0.97446,0.0018416,0.0018416,0.0018416
10,91.8119,1.01286,0.53688,0.97263,0.99661,0.99588,0.99498,0.73723,0.92509,0.47338,0.93903,0.0018218,0.0018218,0.0018218
11,100.94,1.04309,0.55055,0.97705,0.98554,0.98969,0.99429,0.73054,1.0058,0.4951,0.96873,0.001802,0.001802,0.001802
12,110.035,1.00798,0.54118,0.96617,0.98629,0.99588,0.99488,0.73654,0.94242,0.46235,0.94211,0.0017822,0.0017822,0.0017822
13,119.33,1.0032,0.53162,0.96358,0.99583,0.98555,0.99418,0.73867,0.95939,0.48921,0.954,0.0017624,0.0017624,0.0017624
14,128.544,1.01683,0.524,0.96516,0.98156,0.99794,0.99373,0.71005,0.98244,0.51768,0.9669,0.0017426,0.0017426,0.0017426
15,137.773,1.01429,0.52893,0.96734,0.98973,0.99342,0.99417,0.72538,0.95141,0.49469,0.94906,0.0017228,0.0017228,0.0017228
16,147.115,1.00617,0.53659,0.96265,0.98355,0.99175,0.99315,0.74561,0.92846,0.48685,0.95633,0.001703,0.001703,0.001703
17,156.563,0.99732,0.52757,0.97161,0.98947,0.99794,0.99431,0.75284,0.95499,0.47848,0.95442,0.0016832,0.0016832,0.0016832
18,165.991,0.9696,0.50328,0.95571,0.99379,0.99033,0.99494,0.75545,0.93723,0.46973,0.94165,0.0016634,0.0016634,0.0016634
19,175.222,1.00646,0.51711,0.95621,0.98703,0.99588,0.99449,0.76731,0.89538,0.45698,0.9279,0.0016436,0.0016436,0.0016436
